Label, Name
1, "Left Hippocampus"
2, "Right Hippocampus"
3, "Left Amygdala"
4, "Right Amygdala"
5, "Left Anterior temporal lobe medial part"
6, "Right Anterior temporal lobe medial part"
7, "Left Anterior temporal lobe lateral part"
8, "Right Anterior temporal lobe lateral part"
9, "Left Parahippocampal and ambient gyri"
10, "Right Parahippocampal and ambient gyri"
11, "Left Superior temporal gyrus"
12, "Right Superior temporal gyrus"
13, "Left Middle and inferior temporal gyri"
14, "Right Middle and inferior temporal gyri"
15, "Left Fusiform gyrus"
16, "Right Fusiform gyrus"
17, "Left Cerebellum"
18, "Right Cerebellum"
19, "Brainstem"
20, "Right Insula"
21, "Left Insula"
22, "Right Lateral remainder of occipital lobe"
23, "Left Lateral remainder of occipital lobe"
24, "Right Gyrus cinguli anterior part"
25, "Left Gyrus cinguli anterior part"
26, "Right Gyrus cinguli posterior part"
27, "Left Gyrus cinguli posterior part"
28, "Right Middle frontal gyrus"
29, "Left Middle frontal gyrus"
30, "Right Posterior temporal lobe"
31, "Left Posterior temporal lobe"
32, "Right Inferolateral remainder of parietal lobe"
33, "Left Inferolateral remainder of parietal lobe"
34, "Right Caudate nucleus"
35, "Left Caudate nucleus"
36, "Right Nucleus accumbens"
37, "Left Nucleus accumbens"
38, "Right Putamen"
39, "Left Putamen"
40, "Right Thalamus"
41, "Left Thalamus"
42, "Right Pallidum"
43, "Left Pallidum"
44, "Corpus callosum"
45, "Left Lateral ventricle (excluding temporal horn)"
46, "Right Lateral ventricle (excluding temporal horn)"
47, "Left Lateral ventricle temporal horn"
48, "Right Lateral ventricle temporal horn"
49, "Third ventricle"
50, "Right Precentral gyrus"
51, "Left Precentral gyrus"
52, "Right Gyrus rectus"
53, "Left Gyrus rectus"
54, "Right Orbitofrontal gyri"
55, "Left Orbitofrontal gyri"
56, "Right Inferior frontal gyrus"
57, "Left Inferior frontal gyrus"
58, "Right Superior frontal gyrus"
59, "Left Superior frontal gyrus"
60, "Right Postcentral gyrus"
61, "Left Postcentral gyrus"
62, "Right Superior parietal gyrus"
63, "Left Superior parietal gyrus"
64, "Right Lingual gyrus"
65, "Left Lingual gyrus"
66, "Right Cuneus"
67, "Left Cuneus"
68, "Unlabeled"
